MarkerName	Beta	SE	Pvalue
rs_sim_0	0.8391985455385009	0.6893155233034032	0.22355262356193634
rs_sim_1	1.876389951783449	0.642955744662941	0.003549929000552021
rs_sim_2	-0.751643991920626	0.6262214767402566	0.23014246252544854
rs_sim_3	0.29300152840758087	0.6432745496419666	0.6488003055720343
rs_sim_4	2.0568534190012113	0.7814427360628531	0.008537459335694057
rs_sim_5	3.558080337721093	0.979445661094186	0.00028605675744977914
rs_sim_6	-6.1402941048452195	0.8844470313924049	4.889662154808907e-12
rs_sim_7	-1.7534361760990498	0.6100965250849866	0.004086889893979588
rs_sim_8	-2.020528285198033	0.6121848399500953	0.0009786047261323434
rs_sim_9	-0.6641151570225908	0.7353056447764076	0.3665160135425445
rs_sim_10	-0.2780494367779869	0.7569918333752331	0.7134200757187603
rs_sim_11	-1.443889917901598	1.1770377642960606	0.22004514071969564
rs_sim_12	-0.20476692410277408	0.7590767072511644	0.787368773762057
rs_sim_13	-0.23575985323006643	0.6528946220677585	0.7180556319693014
rs_sim_14	-1.872271449350481	1.2028702867671321	0.1197149562383422
rs_sim_15	0.5926037672999546	0.5725390315454658	0.300747838063023
rs_sim_16	5.701373319164212	1.1694881143255758	1.1556260955400457e-06
rs_sim_17	-12.66542669866072	22.122736401379843	0.5670298232137848
rs_sim_18	-0.037890129417902776	0.5426543330395236	0.9443395690244528
rs_sim_19	-12.641126116788643	11.065842520677927	0.2534155840416654
rs_sim_20	-4.519503050460169	2.2344722857028523	0.0432178432580667
rs_sim_21	-0.11110757906871864	1.2601404190656753	0.929747987506509
rs_sim_22	-0.896759214790687	0.6401103954879275	0.16135464773693323
rs_sim_23	-0.15955371802574264	0.7640818029110571	0.834607640153653
rs_sim_24	3.7128586000586723	1.0264385373989482	0.0003036712409239997
rs_sim_25	1.542360162511952	1.2828794063527895	0.22937489897368307
rs_sim_26	-1.2246316440220741	0.7341794403325377	0.09543536011493067
rs_sim_27	-2.010393823493226	0.6079068479311255	0.0009560861530007709
rs_sim_28	-0.2974888353267115	0.8348479777788258	0.7216168032053711
rs_sim_29	-3.4384647800191828	1.0321848877535305	0.0008771344062684517
rs_sim_30	-1.5456496746035135	0.515871637335034	0.0027606055897108797
rs_sim_31	-4.467821219600388	0.5258026647649792	3.2854586507408007e-17
rs_sim_32	-3.371930911695528	0.545910094716825	7.615236325844344e-10
rs_sim_33	0.06605486342424112	0.5982669099845969	0.9120927943852575
rs_sim_34	8.026014132045075	2.614452402607532	0.0021645543248380215
rs_sim_35	-0.050122524893287265	0.6849033428254854	0.9416672226853751
rs_sim_36	1.3309878842618459	0.6687476577767066	0.04666993091731765
rs_sim_37	0.7186364781284169	0.745091337612673	0.3348912873264286
rs_sim_38	1.4737535229582857	0.790061532715534	0.06224715263271306
rs_sim_39	-0.23568159038048173	1.5097040543049762	0.8759580277216357
rs_sim_40	-5.318103187634472	0.8455218409133202	3.741393428091838e-10
rs_sim_41	2.560265616691373	0.6112676332595337	2.905861937217398e-05
rs_sim_42	-2.8430147619646022	0.6164378398818956	4.188778546729041e-06
rs_sim_43	0.7840970208485315	0.7298902519920967	0.28280661484131103
rs_sim_44	0.4354872268271697	0.6366701385044482	0.49403369836669875
rs_sim_45	4.804872269090841	0.7430832226052072	1.204892850436057e-10
rs_sim_46	0.4354872268271697	0.6366701385044482	0.49403369836669875
rs_sim_47	-2.5289311043560683	0.6241609108324608	5.238955307939953e-05
rs_sim_48	-2.848936731942705	0.6112175884609169	3.310528212432474e-06
rs_sim_49	5.639264704293455	0.7967161306423649	1.8898489762793644e-12
